feature,mutual_info
emb_173,0.0002388253878125024
emb_202,0.00023353079971444313
emb_227,0.00023097078399003657
emb_164,0.00022587420185837814
emb_10,0.00022484320711779748
emb_70,0.0002243728900331865
emb_128,0.00021938901567186697
emb_293,0.00021743507868177137
emb_66,0.0002101344631674218
emb_207,0.00020896523134283917
emb_167,0.00020843422399630107
emb_243,0.000198727585885905
emb_41,0.00019793425121061858
emb_81,0.00019648403219718613
emb_118,0.00019106392312862042
emb_257,0.0001889050477140719
emb_316,0.00018737629104637055
emb_20,0.00018398266059549417
emb_91,0.00017768820059793633
emb_315,0.00017546558335801432
emb_351,0.00017174052045920707
emb_242,0.00017171577255481463
emb_259,0.0001691349159322897
emb_377,0.00016524238551629544
emb_87,0.00014071555608108355
emb_240,0.00013147398536128563
emb_256,0.00011561008157789932
work_stopped_flag,0.0001142680886883074
emb_145,0.00011257302481837428
emb_105,7.83128074890449e-05
emb_195,7.674725553841188e-05
emb_179,6.701098020966967e-05
emb_130,6.587330531315772e-05
emb_123,5.684200265243522e-05
emb_56,5.149809821525242e-05
emb_319,2.9327812413937338e-05
emb_220,2.4278017039858213e-05
emb_159,1.3850429740336345e-05
emb_47,1.0151740667541098e-05
emb_201,9.860375769998875e-06
emb_325,8.198265815106964e-06
emb_312,3.7361837279537014e-07
emb_309,0.0
emb_310,0.0
emb_1,0.0
emb_2,0.0
emb_4,0.0
emb_300,0.0
emb_301,0.0
emb_303,0.0
emb_304,0.0
emb_305,0.0
emb_322,0.0
emb_93,0.0
emb_94,0.0
emb_95,0.0
emb_98,0.0
emb_99,0.0
emb_100,0.0
emb_102,0.0
emb_367,0.0
emb_88,0.0
emb_90,0.0
emb_355,0.0
emb_356,0.0
emb_358,0.0
emb_359,0.0
emb_361,0.0
emb_363,0.0
emb_365,0.0
is_weekend,0.0
past_korgau_count_14d,0.0
emb_344,0.0
emb_346,0.0
emb_348,0.0
is_good_practice,0.0
emb_61,0.0
emb_186,0.0
emb_189,0.0
emb_190,0.0
emb_191,0.0
emb_192,0.0
emb_194,0.0
emb_196,0.0
emb_174,0.0
emb_181,0.0
emb_182,0.0
emb_184,0.0
emb_166,0.0
emb_169,0.0
emb_170,0.0
emb_171,0.0
emb_172,0.0
emb_156,0.0
emb_157,0.0
emb_13,0.0
emb_160,0.0
emb_162,0.0
emb_237,0.0
emb_239,0.0
emb_228,0.0
emb_229,0.0
emb_231,0.0
emb_218,0.0
emb_323,0.0
emb_221,0.0
emb_222,0.0
emb_225,0.0
emb_375,0.0
emb_209,0.0
emb_210,0.0
emb_212,0.0
emb_214,0.0
emb_114,0.0
emb_80,0.0
emb_82,0.0
emb_83,0.0
emb_84,0.0
emb_86,0.0
emb_151,0.0
emb_153,0.0
emb_72,0.0
emb_73,0.0
emb_74,0.0
emb_75,0.0
emb_76,0.0
emb_77,0.0
emb_78,0.0
emb_64,0.0
emb_67,0.0
emb_68,0.0
emb_69,0.0
emb_147,0.0
emb_148,0.0
emb_150,0.0
emb_342,0.0
emb_57,0.0
emb_59,0.0
emb_60,0.0
emb_247,0.0
emb_251,0.0
emb_252,0.0
emb_254,0.0
emb_255,0.0
emb_341,0.0
emb_48,0.0
emb_49,0.0
emb_51,0.0
emb_52,0.0
emb_38,0.0
emb_39,0.0
emb_44,0.0
emb_27,0.0
emb_30,0.0
emb_32,0.0
emb_34,0.0
emb_288,0.0
emb_289,0.0
emb_290,0.0
emb_291,0.0
emb_294,0.0
emb_295,0.0
emb_279,0.0
emb_280,0.0
emb_281,0.0
emb_282,0.0
emb_283,0.0
emb_284,0.0
emb_285,0.0
emb_286,0.0
emb_268,0.0
emb_269,0.0
emb_270,0.0
emb_271,0.0
emb_272,0.0
emb_278,0.0
emb_258,0.0
emb_262,0.0
emb_263,0.0
emb_264,0.0
emb_265,0.0
emb_306,0.0
emb_137,0.0
emb_138,0.0
emb_140,0.0
emb_141,0.0
emb_144,0.0
emb_124,0.0
emb_126,0.0
emb_340,0.0
emb_135,0.0
emb_115,0.0
emb_116,0.0
emb_117,0.0
emb_119,0.0
emb_120,0.0
emb_122,0.0
emb_338,0.0
emb_106,0.0
emb_107,0.0
emb_109,0.0
emb_110,0.0
emb_111,0.0
emb_376,0.0
location,0.0
region,0.0
emb_380,0.0
korgau_id,0.0
emb_334,0.0
emb_337,0.0
emb_328,0.0
emb_332,0.0
emb_333,0.0
emb_317,0.0
emb_335,0.0
emb_321,0.0
emb_18,0.0
emb_19,0.0
emb_21,0.0
emb_383,0.0
emb_313,0.0
emb_314,0.0
emb_6,0.0
emb_7,0.0
emb_12,0.0
