organization,observation_type,observation_category,rows,positives,positive_rate,min_time,max_time
"ТОО ""Янтарная Хризантема""",unsafe_behavior,СИЗ / Средства по обеспечению безопасности,4,0,0.0,2025-05-11 15:00:00,2025-12-27 15:00:00
"ТОО ""Японская Сакура""",good_practice,Поддержание чистоты и порядка,4,0,0.0,2025-04-21 20:20:00,2025-09-25 15:02:00
"ТОО ""Японская Сакура""",unsafe_condition,Целостность объекта / Оборудования,4,0,0.0,2024-12-09 15:45:00,2026-02-16 16:00:00
"ТОО ""Ясный Василёк""",good_practice,Прочее,4,0,0.0,2025-06-10 03:25:00,2025-10-22 14:27:00
"ТОО ""Ясный Василёк""",unsafe_action,СИЗ / Средства по обеспечению безопасности,4,0,0.0,2025-04-14 16:15:00,2026-01-16 16:00:00
"ТОО ""Ясный Василёк""",unsafe_behavior,СИЗ / Средства по обеспечению безопасности,4,0,0.0,2025-07-14 15:12:00,2025-11-26 21:15:00
"ТОО ""Алая Гвоздика""",unsafe_action,Вождение,3,0,0.0,2025-05-23 20:20:00,2025-11-21 11:15:00
"ТОО ""Алая Гвоздика""",unsafe_action,Машины и оборудование,3,0,0.0,2025-07-03 13:40:00,2025-10-19 20:37:00
"ТОО ""Алтын Бәйшешек""",danger_factor,Целостность объекта / Оборудования,3,0,0.0,2025-04-16 20:51:00,2026-02-20 15:00:00
"ТОО ""Алтын Бәйшешек""",good_practice,Наряд-допуск / Оценка риска,3,0,0.0,2025-06-08 18:52:00,2025-12-26 21:58:00
"ТОО ""Алтын Бәйшешек""",good_practice,Рабочее место / Эргономика,3,0,0.0,2025-10-12 14:34:00,2026-01-12 17:00:00
"ТОО ""Алтын Бәйшешек""",unsafe_action,Вождение,3,0,0.0,2025-05-24 19:45:00,2025-11-20 18:30:00
"ТОО ""Алтын Бәйшешек""",unsafe_action,Монтажные и грузоподъемные работы,3,0,0.0,2025-05-17 20:30:00,2026-01-21 21:49:00
"ТОО ""Алтын Бәйшешек""",unsafe_condition,Проскальзывание / Спотыкание / Падение,3,0,0.0,2025-02-16 15:26:00,2026-02-11 15:45:00
"ТОО ""Алый Тюльпан""",good_practice,Монтажные и грузоподъемные работы,3,0,0.0,2025-09-11 20:46:00,2026-01-05 19:58:00
"ТОО ""Алый Тюльпан""",good_practice,Охрана окружающей среды,3,0,0.0,2025-11-23 12:46:00,2026-01-26 18:49:00
"ТОО ""Алый Тюльпан""",good_practice,Поддержание чистоты и порядка,3,0,0.0,2025-06-10 06:30:00,2025-09-22 22:03:00
"ТОО ""Алый Тюльпан""",good_practice,Трубопроводы / Подземные коммуникации,3,0,0.0,2025-09-17 00:26:00,2025-11-01 18:55:00
"ТОО ""Алый Тюльпан""",unsafe_condition,Выполнение требований инструкций,3,0,0.0,2025-05-20 16:30:00,2025-10-09 17:00:00
"ТОО ""Алый Тюльпан""",unsafe_condition,Поддержание чистоты и порядка,3,0,0.0,2025-05-27 14:10:00,2025-11-19 20:24:00
"ТОО ""Алый Тюльпан""",unsafe_condition,Целостность объекта / Оборудования,3,0,0.0,2025-02-13 19:30:00,2025-11-29 21:00:00
"ТОО ""Ароматный Мирт""",good_practice,Выполнение требований инструкций,3,0,0.0,2025-05-02 15:30:00,2025-12-29 16:35:00
"ТОО ""Ароматный Мирт""",unsafe_action,СИЗ / Средства по обеспечению безопасности,3,0,0.0,2025-08-22 21:07:00,2025-11-17 15:00:00
"ТОО ""Ароматный Мирт""",unsafe_condition,Падающие предметы,3,0,0.0,2024-07-05 22:47:00,2025-11-21 20:25:00
"ТОО ""Ароматный Мирт""",unsafe_condition,Проскальзывание / Спотыкание / Падение,3,0,0.0,2024-03-12 22:52:00,2025-12-04 21:32:00
"ТОО ""Бархатный Тюльпан""",good_practice,Охрана окружающей среды,3,0,0.0,2025-09-17 00:55:00,2026-01-26 18:46:00
