observation_type,observation_category,rows,positives,positive_rate
danger_factor,"Трубопроводы / Подземные коммуникации, Испытание под давлением",4,0,0.0
good_practice,"Знаки безопасности / Предупредительные таблички, Машины и оборудование",4,0,0.0
good_practice,Испытание под давлением,4,0,0.0
good_practice,"Охрана окружающей среды, Поддержание чистоты и порядка",4,0,0.0
good_practice,"Поддержание чистоты и порядка, Рабочее место / Эргономика",4,0,0.0
good_practice,"Работы на высоте / Строительные леса, Монтажные и грузоподъемные работы",4,0,0.0
good_practice,"Санитарно-бытовые помещения, Поддержание чистоты и порядка",4,0,0.0
unsafe_action,"Взрыво- и пожароопасность, Сварка / Шлифовка / Отжиг",4,0,0.0
unsafe_action,"Выполнение требований инструкций, Взрыво- и пожароопасность, Знаки безопасности / Предупредительные таблички",4,0,0.0
unsafe_action,"Выполнение требований инструкций, Вождение",4,0,0.0
unsafe_action,"Машины и оборудование, Вождение",4,0,0.0
unsafe_action,"Охрана окружающей среды, Поддержание чистоты и порядка, Проскальзывание / Спотыкание / Падение",4,0,0.0
unsafe_action,"Поддержание чистоты и порядка, Машины и оборудование",4,0,0.0
unsafe_action,"Поддержание чистоты и порядка, Охрана окружающей среды, Проскальзывание / Спотыкание / Падение",4,0,0.0
unsafe_action,"Проскальзывание / Спотыкание / Падение, Работы на высоте / Строительные леса",4,0,0.0
unsafe_behavior,"Взрыво- и пожароопасность, Электрооборудование",4,0,0.0
unsafe_behavior,"Рабочее место / Эргономика, Выполнение требований инструкций",4,0,0.0
unsafe_behavior,"СИЗ / Средства по обеспечению безопасности, Работы на высоте / Строительные леса",4,0,0.0
unsafe_behavior,"Сварка / Шлифовка / Отжиг, СИЗ / Средства по обеспечению безопасности",4,0,0.0
unsafe_behavior,"Транспортировка, Вождение",4,0,0.0
unsafe_condition,"Выполнение требований инструкций, Рабочее место / Эргономика, Переносное оборудование / Ручные инструменты",4,0,0.0
unsafe_condition,"Выполнение требований инструкций, Целостность объекта / Оборудования",4,0,0.0
unsafe_condition,"Машины и оборудование, Вождение",4,0,0.0
unsafe_condition,"Машины и оборудование, Выполнение требований инструкций",4,0,0.0
unsafe_condition,"Монтажные и грузоподъемные работы, Выполнение требований инструкций",4,0,0.0
unsafe_condition,"Поддержание чистоты и порядка, Машины и оборудование",4,0,0.0
unsafe_condition,"Поддержание чистоты и порядка, Санитарно-бытовые помещения",4,0,0.0
unsafe_condition,"Работы на высоте / Строительные леса, Выполнение требований инструкций",4,0,0.0
unsafe_condition,"Сварка / Шлифовка / Отжиг, Выполнение требований инструкций",4,0,0.0
unsafe_condition,"Трубопроводы / Подземные коммуникации, Проскальзывание / Спотыкание / Падение",4,0,0.0
unsafe_condition,"Целостность объекта / Оборудования, Рабочее место / Эргономика",4,0,0.0
unsafe_condition,"Целостность объекта / Оборудования, Трубопроводы / Подземные коммуникации",4,0,0.0
unsafe_condition,"Целостность объекта / Оборудования, Электрооборудование",4,0,0.0
danger_factor,Работы в замкнутом пространстве,3,0,0.0
danger_factor,"Целостность объекта / Оборудования, Проскальзывание / Спотыкание / Падение",3,0,0.0
good_practice,"Вождение, Транспортировка",3,0,0.0
good_practice,"Выполнение требований инструкций, Знаки безопасности / Предупредительные таблички",3,0,0.0
good_practice,"Выполнение требований инструкций, Наряд-допуск / Оценка риска",3,0,0.0
good_practice,"Выполнение требований инструкций, Рабочее место / Эргономика",3,0,0.0
good_practice,"Знаки безопасности / Предупредительные таблички, СИЗ / Средства по обеспечению безопасности",3,0,0.0
good_practice,"Наряд-допуск / Оценка риска, Поддержание чистоты и порядка",3,0,0.0
good_practice,Опасные вещества/сероводород,3,0,0.0
good_practice,"Поддержание чистоты и порядка, Санитарно-бытовые помещения",3,0,0.0
good_practice,"Сварка / Шлифовка / Отжиг, СИЗ / Средства по обеспечению безопасности",3,0,0.0
good_practice,"Транспортировка, Взрыво- и пожароопасность, Знаки безопасности / Предупредительные таблички, Аварийное реагирование / Готовность к ЧС, Трубопроводы / Подземные коммуникации, Поддержание чистоты и порядка, Охрана окружающей среды, Монтажные и грузоподъемные работы, Электрооборудование, Выполнение требований инструкций",3,0,0.0
good_practice,"Транспортировка, Вождение",3,0,0.0
good_practice,"Целостность объекта / Оборудования, Поддержание чистоты и порядка",3,0,0.0
other,"Вождение, Транспортировка",3,0,0.0
other,"Вывешивание плакатов, Знаки безопасности / Предупредительные таблички",3,0,0.0
other,Ионизирующее излучение,3,0,0.0
other,"Поддержание чистоты и порядка, Охрана окружающей среды",3,0,0.0
other,"Рабочее место / Эргономика, Проскальзывание / Спотыкание / Падение",3,0,0.0
other,"СИЗ / Средства по обеспечению безопасности, Выполнение требований инструкций",3,0,0.0
other,"Целостность объекта / Оборудования, Рабочее место / Эргономика",3,0,0.0
unsafe_action,"Взрыво- и пожароопасность, Выполнение требований инструкций, Знаки безопасности / Предупредительные таблички",3,0,0.0
unsafe_action,"Взрыво- и пожароопасность, Электрооборудование",3,0,0.0
unsafe_action,"Вождение, Машины и оборудование",3,0,0.0
unsafe_action,"Вывешивание плакатов, Поддержание чистоты и порядка",3,0,0.0
unsafe_action,"Выполнение требований инструкций, Аварийное реагирование / Готовность к ЧС, Рабочее место / Эргономика, Монтажные и грузоподъемные работы",3,0,0.0
unsafe_action,"Выполнение требований инструкций, Машины и оборудование",3,0,0.0
unsafe_action,"Выполнение требований инструкций, Монтажные и грузоподъемные работы",3,0,0.0
unsafe_action,"Знаки безопасности / Предупредительные таблички, Взрыво- и пожароопасность, Выполнение требований инструкций",3,0,0.0
unsafe_action,"Знаки безопасности / Предупредительные таблички, Вывешивание плакатов, Выполнение требований инструкций",3,0,0.0
unsafe_action,"Знаки безопасности / Предупредительные таблички, Выполнение требований инструкций, Вождение",3,0,0.0
unsafe_action,"Знаки безопасности / Предупредительные таблички, СИЗ / Средства по обеспечению безопасности, Наряд-допуск / Оценка риска, Выполнение требований инструкций",3,0,0.0
unsafe_action,"Машины и оборудование, Поддержание чистоты и порядка",3,0,0.0
unsafe_action,"Монтажные и грузоподъемные работы, Выполнение требований инструкций",3,0,0.0
unsafe_action,"Наряд-допуск / Оценка риска, Переносное оборудование / Ручные инструменты",3,0,0.0
unsafe_action,"Поддержание чистоты и порядка, Охрана окружающей среды, Монтажные и грузоподъемные работы",3,0,0.0
unsafe_action,"Работы на высоте / Строительные леса, Падающие предметы",3,0,0.0
unsafe_action,"Работы на высоте / Строительные леса, СИЗ / Средства по обеспечению безопасности, Проскальзывание / Спотыкание / Падение",3,0,0.0
unsafe_action,"СИЗ / Средства по обеспечению безопасности, Вождение, Выполнение требований инструкций",3,0,0.0
unsafe_action,"СИЗ / Средства по обеспечению безопасности, Поддержание чистоты и порядка",3,0,0.0
unsafe_action,"СИЗ / Средства по обеспечению безопасности, Работы на высоте / Строительные леса",3,0,0.0
unsafe_action,"Транспортировка, Взрыво- и пожароопасность",3,0,0.0
unsafe_action,"Транспортировка, Машины и оборудование",3,0,0.0
unsafe_behavior,"Выполнение требований инструкций, Вождение",3,0,0.0
unsafe_behavior,"Выполнение требований инструкций, Поддержание чистоты и порядка",3,0,0.0
unsafe_behavior,"Машины и оборудование, Выполнение требований инструкций",3,0,0.0
unsafe_behavior,"Наряд-допуск / Оценка риска, Выполнение требований инструкций",3,0,0.0
unsafe_behavior,"Поддержание чистоты и порядка, Рабочее место / Эргономика",3,0,0.0
unsafe_behavior,"СИЗ / Средства по обеспечению безопасности, Наряд-допуск / Оценка риска",3,0,0.0
unsafe_condition,"Аварийное реагирование / Готовность к ЧС, Выполнение требований инструкций, Рабочее место / Эргономика, Монтажные и грузоподъемные работы",3,0,0.0
unsafe_condition,"Взрыво- и пожароопасность, Выполнение требований инструкций",3,0,0.0
unsafe_condition,"Вождение, Машины и оборудование",3,0,0.0
unsafe_condition,"Выполнение требований инструкций, Переносное оборудование / Ручные инструменты",3,0,0.0
unsafe_condition,"Выполнение требований инструкций, Переносное оборудование / Ручные инструменты, Целостность объекта / Оборудования",3,0,0.0
unsafe_condition,"Выполнение требований инструкций, Переносное оборудование / Ручные инструменты, Целостность объекта / Оборудования, Рабочее место / Эргономика",3,0,0.0
unsafe_condition,"Выполнение требований инструкций, Электрооборудование",3,0,0.0
unsafe_condition,"Знаки безопасности / Предупредительные таблички, Падающие предметы",3,0,0.0
unsafe_condition,"Машины и оборудование, Трубопроводы / Подземные коммуникации",3,0,0.0
